 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000            1000               0               0               0          4.8840;
     1    0.009            1000               8               0               0          0.5647;
     2    0.018            1000              26               0               0          0.4200;
     3    0.027            1000              48               1               0          0.8358;
     4    0.035            1000              74               2               1          0.9713;
     5    0.044            1000             105               6               3          0.3413;
     6    0.053            1000             137              10               7          0.1642;
     7    0.062            1000             167              18              14          0.6392;
     8    0.071            1000             194              28              24          0.7711;
     9    0.080            1000             221              42              38          0.4615;
    10    0.089            1000             245              59              55          0.3608;
    11    0.097            1000             266              80              76          0.6093;
    12    0.106            1000             284             104             100          0.8059;
    13    0.115            1000             302             132             128          0.6716;
    14    0.124            1000             320             163             157          0.2735;
    15    0.133            1000             336             197             191          0.6233;
    16    0.142            1000             352             234             227          0.8492;
    17    0.151            1000             369             273             265          0.6184;
    18    0.159            1000             388             313             306          0.2179;
    19    0.168            1000             407             355             349          0.5226;
    20    0.177            1000             426             398             392          0.6740;
    21    0.186            1000             447             441             433          0.5061;
    22    0.195            1000             471             484             477          0.1960;
    23    0.204            1000             495             526             520          0.4103;
    24    0.213            1000             519             568             560          0.5690;
    25    0.221            1000             544             608             600          0.2692;
    26    0.230            1000             572             647             641          0.0916;
    27    0.239            1000             599             684             675          0.1764;
    28    0.248            1000             627             719             711          0.2460;
    29    0.257            1000             655             752             746          0.2601;
    30    0.266            1000             683             782             774          0.1899;
    31    0.274            1000             713             811             803         -0.0470;
    32    0.283            1000             742             837             832         -0.0360;
    33    0.292            1000             769             861             854          0.1013;
    34    0.301            1000             797             883             876          0.0446;
    35    0.310            1000             823             903             897          0.0720;
    36    0.319            1000             848             921             913         -0.0934;
    37    0.328            1000             870             938             929          0.0891;
    38    0.336            1000             892             952             946          0.0244;
    39    0.345            1000             912             966             958         -0.0391;
    40    0.354            1000             930             977             969          0.0098;
    41    0.363            1000             947             988             981          0.1709;
    42    0.372            1000             962             997             990          0.1264;
    43    0.381            1000             976            1006             998          0.0409;
    44    0.390            1000             989            1014            1006          0.1227;
    45    0.398            1000            1000            1020            1014          0.0678;
    46    0.407            1000            1010            1026            1019          0.1667;
    47    0.416            1000            1020            1032            1025          0.1142;
    48    0.425            1000            1027            1037            1030          0.2295;
    49    0.434            1000            1034            1042            1034          0.1380;
    50    0.443            1000            1039            1046            1038          0.2143;
    51    0.452            1000            1043            1050            1042          0.2363;
    52    0.460            1000            1046            1053            1045          0.2460;
    53    0.469            1000            1048            1056            1048          0.2564;
    54    0.478            1000            1049            1058            1051          0.2827;
    55    0.487            1000            1049            1060            1053          0.3089;
    56    0.496            1000            1050            1062            1054          0.2937;
    57    0.505            1000            1049            1062            1055          0.5287;
    58    0.514            1000            1049            1063            1056          0.3071;
    59    0.522            1000            1049            1063            1056          0.3065;
    60    0.531            1000            1049            1062            1055          0.3059;
    61    0.540            1000            1049            1061            1055          0.3053;
    62    0.549            1000            1049            1059            1054          0.3040;
    63    0.558            1000            1049            1057            1052          0.0824;
    64    0.567            1000            1048            1055            1050          0.3040;
    65    0.576            1000            1048            1052            1048          0.3034;
    66    0.584            1000            1047            1049            1046          0.4274;
    67    0.593            1000            1047            1046            1043          0.3028;
    68    0.602            1000            1046            1042            1040          0.3034;
    69    0.611            1000            1046            1039            1037          0.3028;
    70    0.620            1000            1045            1035            1034          0.3168;
