Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0012"
"1.0000","0.0317","0.0251"
"2.0000","0.0652","0.0516"
"3.0000","0.0986","0.0703"
"4.0000","0.1318","0.0714"
"5.0000","0.1653","0.0718"
"6.0000","0.1985","0.0721"
"7.0000","0.2317","0.0723"
"8.0000","0.2653","0.0725"
"9.0000","0.2985","0.0739"
"10.0000","0.3319","0.0927"
"11.0000","0.3652","0.1180"
"12.0000","0.3985","0.1435"
"13.0000","0.4318","0.1688"
"14.0000","0.4651","0.1941"
"15.0000","0.4984","0.2190"
"16.0000","0.5317","0.2437"
"17.0000","0.5650","0.2685"
"18.0000","0.5985","0.2931"
"19.0000","0.6318","0.3177"
"20.0000","0.6651","0.3417"
"21.0000","0.6984","0.3659"
"22.0000","0.7317","0.3899"
"23.0000","0.7650","0.4138"
"24.0000","0.7985","0.4375"
"25.0000","0.8317","0.4608"
"26.0000","0.8651","0.4841"
"27.0000","0.8985","0.5075"
"28.0000","0.9318","0.5302"
"29.0000","0.9653","0.5533"
"30.0000","0.9985","0.5759"
"31.0000","1.0318","0.5987"
"32.0000","1.0652","0.6210"
"33.0000","1.0985","0.6434"
"34.0000","1.1318","0.6652"
"35.0000","1.1652","0.6875"
"36.0000","1.1985","0.7091"
"37.0000","1.2319","0.7307"
"38.0000","1.2653","0.7523"
"39.0000","1.2985","0.7734"
"40.0000","1.3318","0.7944"
"41.0000","1.3651","0.8155"
"42.0000","1.3984","0.8361"
"43.0000","1.4318","0.8566"
"44.0000","1.4650","0.8768"
"45.0000","1.4984","0.8972"
"46.0000","1.5318","0.9172"
"47.0000","1.5651","0.9372"
"48.0000","1.5985","0.9567"
"49.0000","1.6317","0.9762"
"50.0000","1.6650","0.9952"
"51.0000","1.6985","1.0146"
"52.0000","1.7317","1.0333"
"53.0000","1.7651","1.0520"
"54.0000","1.7986","1.0705"
"55.0000","1.8317","1.0888"
"56.0000","1.8652","1.1068"
"57.0000","1.8986","1.1249"
"58.0000","1.9319","1.1423"
"59.0000","1.9652","1.1597"
"60.0000","1.9985","1.1769"
"61.0000","2.0318","1.1938"
"62.0000","2.0653","1.2108"
"63.0000","2.0985","1.2271"
"64.0000","2.1318","1.2435"
"65.0000","2.1652","1.2595"
"66.0000","2.1985","1.2755"
"67.0000","2.2319","1.2912"
"68.0000","2.2650","1.3067"
"69.0000","2.2984","1.3217"
"70.0000","2.3317","1.3369"
"71.0000","2.3650","1.3515"
"72.0000","2.3985","1.3661"
"73.0000","2.4317","1.3802"
"74.0000","2.4651","1.3945"
"75.0000","2.4984","1.4082"
"76.0000","2.5317","1.4219"
"77.0000","2.5651","1.4352"
"78.0000","2.5985","1.4484"
"79.0000","2.6317","1.4613"
"80.0000","2.6651","1.4737"
"81.0000","2.6986","1.4865"
"82.0000","2.7318","1.4985"
"83.0000","2.7652","1.5107"
"84.0000","2.7986","1.5224"
"85.0000","2.8318","1.5341"
"86.0000","2.8653","1.5453"
"87.0000","2.8985","1.5564"
"88.0000","2.9317","1.5670"
"89.0000","2.9653","1.5780"
"90.0000","2.9985","1.5881"
"91.0000","3.0319","1.5985"
"92.0000","3.0652","1.6084"
"93.0000","3.0985","1.6183"
"94.0000","3.1318","1.6278"
"95.0000","3.1651","1.6373"
"96.0000","3.1983","1.6463"
"97.0000","3.2318","1.6554"
"98.0000","3.2649","1.6638"
"99.0000","3.2985","1.6727"
"100.0000","3.3318","1.6809"
"101.0000","3.3651","1.6892"
"102.0000","3.3984","1.6970"
"103.0000","3.4317","1.7050"
"104.0000","3.4650","1.7126"
"105.0000","3.4985","1.7202"
"106.0000","3.5317","1.7272"
"107.0000","3.5651","1.7342"
"108.0000","3.5986","1.7413"
"109.0000","3.6318","1.7481"
"110.0000","3.6653","1.7547"
"111.0000","3.6985","1.7610"
"112.0000","3.7318","1.7673"
"113.0000","3.7652","1.7733"
"114.0000","3.7985","1.7794"
"115.0000","3.8318","1.7849"
"116.0000","3.8652","1.7908"
"117.0000","3.8985","1.7959"
"118.0000","3.9319","1.8013"
"119.0000","3.9653","1.8064"
"120.0000","3.9985","1.8114"
"121.0000","4.0318","1.8161"
"122.0000","4.0650","1.8210"
"123.0000","4.0984","1.8255"
"124.0000","4.1318","1.8300"
"125.0000","4.1650","1.8340"
"126.0000","4.1984","1.8384"
"127.0000","4.2318","1.8425"
"128.0000","4.2651","1.8465"
"129.0000","4.2985","1.8503"
"130.0000","4.3317","1.8542"
"131.0000","4.3650","1.8575"
"132.0000","4.3985","1.8611"
"133.0000","4.4317","1.8643"
"134.0000","4.4651","1.8675"
"135.0000","4.4986","1.8707"
"136.0000","4.5317","1.8735"
"137.0000","4.5653","1.8766"
"138.0000","4.5986","1.8791"
"139.0000","4.6318","1.8818"
"140.0000","4.6652","1.8843"
"141.0000","4.6985","1.8868"
"142.0000","4.7318","1.8889"
"143.0000","4.7653","1.8915"
"144.0000","4.7985","1.8933"
"145.0000","4.8318","1.8953"
"146.0000","4.8652","1.8972"
"147.0000","4.8986","1.8990"
"148.0000","4.9319","1.9007"
"149.0000","4.9651","1.9021"
"150.0000","4.9984","1.9036"
"151.0000","5.0318","1.9049"
"152.0000","5.0651","1.9063"
"153.0000","5.0985","1.9073"
"154.0000","5.1317","1.9086"
"155.0000","5.1651","1.9094"
"156.0000","5.1984","1.9104"
"157.0000","5.2318","1.9111"
"158.0000","5.2650","1.9118"
"159.0000","5.2984","1.9124"
"160.0000","5.3317","1.9127"
"161.0000","5.3651","1.9132"
"162.0000","5.3986","1.9135"
"163.0000","5.4318","1.9138"
"164.0000","5.4652","1.9139"
"165.0000","5.4985","1.9140"
"166.0000","5.5319","1.9138"
"167.0000","5.5653","1.9139"
"168.0000","5.5985","1.9135"
"169.0000","5.6317","1.9130"
"170.0000","5.6653","1.9128"
"171.0000","5.6985","1.9122"
"172.0000","5.7319","1.9117"
"173.0000","5.7652","1.9109"
"174.0000","5.7985","1.9104"
"175.0000","5.8318","1.9095"
"176.0000","5.8651","1.9087"
"177.0000","5.8984","1.9077"
"178.0000","5.9317","1.9069"
"179.0000","5.9650","1.9055"
"180.0000","5.9985","1.9046"
"180.0430","6.0000","1.9047"
"180.0440","6.0000","1.9047"
"181.0440","5.9707","1.8699"
"182.0440","5.9373","1.8382"
"183.0440","5.9040","1.8098"
"184.0440","5.8706","1.7836"
"185.0440","5.8372","1.7588"
"186.0440","5.8040","1.7355"
"187.0440","5.7704","1.7132"
"188.0440","5.7372","1.6917"
"189.0440","5.7039","1.6712"
"190.0440","5.6706","1.6512"
"191.0440","5.6373","1.6319"
"192.0440","5.6038","1.6130"
"193.0440","5.5704","1.5945"
"194.0440","5.5373","1.5765"
"195.0440","5.5039","1.5586"
"196.0440","5.4705","1.5412"
"197.0440","5.4372","1.5239"
"198.0440","5.4038","1.5068"
"199.0440","5.3707","1.4904"
"200.0440","5.3373","1.4735"
"201.0440","5.3039","1.4574"
"202.0440","5.2707","1.4412"
"203.0440","5.2373","1.4253"
"204.0440","5.2040","1.4092"
"205.0440","5.1707","1.3935"
"206.0440","5.1372","1.3777"
"207.0440","5.1040","1.3619"
"208.0440","5.0707","1.3467"
"209.0440","5.0373","1.3310"
"210.0440","5.0041","1.3160"
"211.0440","4.9705","1.3006"
"212.0440","4.9372","1.2852"
"213.0440","4.9040","1.2706"
"214.0440","4.8705","1.2553"
"215.0440","4.8372","1.2405"
"216.0440","4.8038","1.2256"
"217.0440","4.7704","1.2106"
"218.0440","4.7373","1.1962"
"219.0440","4.7040","1.1814"
"220.0440","4.6704","1.1668"
"221.0440","4.6373","1.1523"
"222.0440","4.6039","1.1374"
"223.0440","4.5705","1.1232"
"224.0440","4.5373","1.1086"
"225.0440","4.5038","1.0944"
"226.0440","4.4706","1.0799"
"227.0440","4.4373","1.0656"
"228.0440","4.4039","1.0516"
"229.0440","4.3708","1.0374"
"230.0440","4.3373","1.0232"
"231.0440","4.3039","1.0090"
"232.0440","4.2707","0.9948"
"233.0440","4.2373","0.9809"
"234.0440","4.2040","0.9668"
"234.7320","4.1810","0.9571"

