Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(in),(lbf)
"","0.0000","0.0000","0.3051"
"","1.0000","0.0012","5.5436"
"","2.0000","0.0025","10.4260"
"","3.0000","0.0038","10.8102"
"","4.0000","0.0051","10.8940"
"","5.0000","0.0064","10.9572"
"","6.0000","0.0077","11.0279"
"","7.0000","0.0091","11.0968"
"","8.0000","0.0104","11.1574"
"","9.0000","0.0117","11.2405"
"","10.0000","0.0130","11.3121"
"","11.0000","0.0143","11.5539"
"","12.0000","0.0156","14.7796"
"","13.0000","0.0169","20.2767"
"","14.0000","0.0183","25.7276"
"","15.0000","0.0196","31.2352"
"","16.0000","0.0209","36.8010"
"","17.0000","0.0222","42.4605"
"","18.0000","0.0235","48.0795"
"","19.0000","0.0248","53.5768"
"","20.0000","0.0261","59.1377"
"","21.0000","0.0274","64.5795"
"","22.0000","0.0287","69.9870"
"","23.0000","0.0301","75.4696"
"","24.0000","0.0314","80.7755"
"","25.0000","0.0327","86.1134"
"","26.0000","0.0340","91.4429"
"","27.0000","0.0353","96.6892"
"","28.0000","0.0366","101.9769"
"","29.0000","0.0379","107.2459"
"","30.0000","0.0392","112.3565"
"","31.0000","0.0406","117.5166"
"","32.0000","0.0419","122.6015"
"","33.0000","0.0432","127.6838"
"","34.0000","0.0445","132.7011"
"","35.0000","0.0458","137.6838"
"","36.0000","0.0471","142.6283"
"","37.0000","0.0484","147.5210"
"","38.0000","0.0497","152.3857"
"","39.0000","0.0511","157.2581"
"","40.0000","0.0524","162.0301"
"","41.0000","0.0537","166.7596"
"","42.0000","0.0550","171.4636"
"","43.0000","0.0563","176.0634"
"","44.0000","0.0576","180.7720"
"","45.0000","0.0589","185.3852"
"","46.0000","0.0602","189.8478"
"","47.0000","0.0616","194.3998"
"","48.0000","0.0629","198.8560"
"","49.0000","0.0642","203.2619"
"","50.0000","0.0655","207.6636"
"","51.0000","0.0668","211.9517"
"","52.0000","0.0681","216.2641"
"","53.0000","0.0694","220.5345"
"","54.0000","0.0707","224.7095"
"","55.0000","0.0721","228.8938"
"","56.0000","0.0734","233.0220"
"","57.0000","0.0747","237.0498"
"","58.0000","0.0760","241.0342"
"","59.0000","0.0773","245.0060"
"","60.0000","0.0786","248.9726"
"","61.0000","0.0799","252.9032"
"","62.0000","0.0812","256.6743"
"","63.0000","0.0826","260.4975"
"","64.0000","0.0839","264.2453"
"","65.0000","0.0852","267.9044"
"","66.0000","0.0865","271.5913"
"","67.0000","0.0878","275.1458"
"","68.0000","0.0891","278.6460"
"","69.0000","0.0904","282.1551"
"","70.0000","0.0917","285.5604"
"","71.0000","0.0931","288.9939"
"","72.0000","0.0944","292.4078"
"","73.0000","0.0957","295.6084"
"","74.0000","0.0970","298.9071"
"","75.0000","0.0983","302.0687"
"","76.0000","0.0996","305.2213"
"","77.0000","0.1009","308.3445"
"","78.0000","0.1022","311.3419"
"","79.0000","0.1035","314.3395"
"","80.0000","0.1049","317.3428"
"","81.0000","0.1062","320.2168"
"","82.0000","0.1075","323.1084"
"","83.0000","0.1088","325.9368"
"","84.0000","0.1101","328.6446"
"","85.0000","0.1114","331.3889"
"","86.0000","0.1127","334.0728"
"","87.0000","0.1140","336.7002"
"","88.0000","0.1154","339.2601"
"","89.0000","0.1167","341.7623"
"","90.0000","0.1180","344.2476"
"","91.0000","0.1193","346.6599"
"","92.0000","0.1206","349.0027"
"","93.0000","0.1219","351.3836"
"","94.0000","0.1232","353.5995"
"","95.0000","0.1245","355.8665"
"","96.0000","0.1259","358.0682"
"","97.0000","0.1272","360.1465"
"","98.0000","0.1285","362.3161"
"","99.0000","0.1298","364.3681"
"","100.0000","0.1311","366.3562"
"","101.0000","0.1324","368.3046"
"","102.0000","0.1337","370.2041"
"","103.0000","0.1350","372.0939"
"","104.0000","0.1364","373.9530"
"","105.0000","0.1377","375.7080"
