Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","1.0000","0.0318","0.0071"
"","2.0000","0.0651","0.0146"
"","3.0000","0.0985","0.0223"
"","4.0000","0.1317","0.0299"
"","5.0000","0.1652","0.0377"
"","6.0000","0.1986","0.0454"
"","7.0000","0.2319","0.0529"
"","8.0000","0.2653","0.0605"
"","9.0000","0.2985","0.0642"
"","10.0000","0.3319","0.0642"
"","11.0000","0.3653","0.0642"
"","12.0000","0.3985","0.0642"
"","13.0000","0.4319","0.0642"
"","14.0000","0.4653","0.0644"
"","15.0000","0.4986","0.0650"
"","16.0000","0.5319","0.0651"
"","17.0000","0.5654","0.0652"
"","18.0000","0.5985","0.0665"
"","19.0000","0.6318","0.0738"
"","20.0000","0.6651","0.0816"
"","21.0000","0.6983","0.0893"
"","22.0000","0.7319","0.0971"
"","23.0000","0.7650","0.1048"
"","24.0000","0.7984","0.1123"
"","25.0000","0.8320","0.1197"
"","26.0000","0.8652","0.1272"
"","27.0000","0.8985","0.1345"
"","28.0000","0.9318","0.1419"
"","29.0000","0.9651","0.1491"
"","30.0000","0.9985","0.1564"
"","31.0000","1.0319","0.1634"
"","32.0000","1.0651","0.1704"
"","33.0000","1.0985","0.1774"
"","34.0000","1.1319","0.1842"
"","35.0000","1.1653","0.1908"
"","36.0000","1.1987","0.1976"
"","37.0000","1.2319","0.2040"
"","38.0000","1.2653","0.2103"
"","39.0000","1.2985","0.2167"
"","40.0000","1.3319","0.2229"
"","41.0000","1.3654","0.2290"
"","42.0000","1.3985","0.2347"
"","43.0000","1.4319","0.2406"
"","44.0000","1.4653","0.2463"
"","45.0000","1.4986","0.2519"
"","46.0000","1.5319","0.2572"
"","47.0000","1.5651","0.2627"
"","48.0000","1.5984","0.2678"
"","48.9070","1.6289","0.0245"

